rep,n_rows,elapsed,max_mem,elapsed_py
1,1,159.964,905520,72.46800000000002
1,2,136.89700000000005,1810992,71.39599999999996
1,4,130.587,3621936,70.27200000000005
1,8,127.86099999999999,7243824,69.86699999999996
1,16,131.21199999999988,14487600,69.71299999999997
1,32,119.95899999999983,28975152,69.6210000000001
1,64,115.16000000000008,57950256,69.98800000000006
1,128,112.0920000000001,115900464,70.21400000000017
1,256,107.94599999999991,231800880,70.34999999999991
1,512,104.93899999999985,463601712,71.9989999999998
1,1024,106.33599999999979,927203376,71.91000000000031
1,2048,95.13599999999997,1854406704,62.95000000000027
1,4096,98.9659999999999,3708813360,63.36299999999983
1,5630,100.68600000000015,5097807408,60.7170000000001
2,1,147.20299999999997,905520,72.38899999999967
2,2,132.19700000000012,1810992,71.04500000000007
2,4,129.64699999999993,3621936,70.14699999999993
2,8,123.16599999999971,7243824,69.6890000000003
2,16,126.86599999999999,14487600,69.42100000000028
2,32,117.1850000000004,28975152,69.38000000000011
2,64,112.55000000000018,57950256,69.57300000000032
2,128,109.76800000000003,115900464,71.79299999999967
2,256,105.85199999999986,231800880,70.32499999999982
2,512,103.51700000000073,463601712,71.59900000000016
2,1024,104.86000000000058,927203376,73.08600000000024
2,2048,93.77599999999984,1854406704,62.53700000000026
2,4096,97.13400000000001,3708813360,63.10499999999956
2,5630,98.38400000000001,5097807408,60.511999999999716
3,1,148.97500000000036,905520,72.73199999999997
3,2,133.46200000000044,1810992,71.26500000000033
3,4,127.5010000000002,3621936,70.42900000000009
3,8,123.30000000000018,7243824,69.66200000000026
3,16,129.89000000000033,14487600,69.42400000000089
3,32,118.00999999999931,28975152,69.47999999999956
3,64,113.0630000000001,57950256,69.63100000000031
3,128,109.3189999999995,115900464,69.89100000000053
3,256,106.33300000000054,231800880,70.27200000000084
3,512,102.90700000000015,463601712,71.5560000000005
3,1024,102.23900000000049,927203376,71.3809999999994
3,2048,94.89200000000073,1854406704,62.55799999999999
3,4096,97.04200000000037,3708813360,62.96699999999964
3,5630,100.1339999999991,5097807408,60.582000000000335
4,1,146.24099999999999,905520,72.27800000000025
4,2,133.46500000000015,1810992,71.14300000000003
4,4,130.41399999999885,3621936,70.27800000000025
4,8,121.97299999999996,7243824,69.67299999999886
4,16,125.3809999999994,14487600,69.36399999999958
4,32,117.77900000000045,28975152,69.51499999999942
4,64,112.74200000000019,57950256,70.05999999999949
4,128,109.64799999999923,115900464,69.91300000000047
4,256,106.16300000000047,231800880,70.21199999999953
4,512,103.4310000000005,463601712,71.61299999999937
4,1024,102.82300000000032,927203376,71.46000000000095
4,2048,94.63500000000022,1854406704,62.63999999999942
4,4096,96.85699999999997,3708813360,62.86099999999897
4,5630,100.04099999999926,5097807408,60.52399999999943
5,1,146.91599999999926,905520,72.3739999999998
5,2,133.16600000000108,1810992,71.12099999999919
5,4,127.64599999999882,3621936,70.0679999999993
5,8,123.84900000000016,7243824,69.73999999999978
5,16,128.8730000000014,14487600,69.37200000000121
5,32,118.55400000000009,28975152,69.54299999999967
5,64,113.45299999999952,57950256,69.65700000000106
5,128,109.46099999999933,115900464,70.04300000000148
5,256,105.94599999999991,231800880,70.15200000000004
5,512,103.66400000000067,463601712,71.48300000000017
5,1024,102.88600000000042,927203376,71.46500000000015
5,2048,93.57899999999972,1854406704,62.731000000001586
5,4096,96.57599999999911,3708813360,62.87299999999959
5,5630,100.55500000000029,5097807408,60.56999999999971
6,1,146.8050000000003,905520,72.27599999999984
6,2,134.41800000000148,1810992,71.19999999999891
6,4,127.51000000000022,3621936,70.246000000001
6,8,123.94700000000012,7243824,69.71600000000035
6,16,126.82800000000134,14487600,69.35200000000077
6,32,116.84500000000116,28975152,69.625
6,64,112.85999999999876,57950256,69.83600000000115
6,128,109.79000000000087,115900464,69.93000000000029
6,256,106.39500000000044,231800880,70.38400000000001
6,512,103.72299999999996,463601712,71.54700000000048
6,1024,103.13899999999921,927203376,71.50799999999981
6,2048,94.09000000000015,1854406704,62.65899999999965
6,4096,96.94900000000052,3708813360,63.12499999999818
6,5630,97.34400000000096,5097807408,60.641999999999825
7,1,144.08700000000317,905520,72.25700000000143
